X,Y,Z
8280.333,13896.121,-37.087
10523.479,26855.18,17.327
11851.457,16992.148,48.342
12788.062,21210.842,84.034
12911.725,17104.885,72.324
13862.829,16054.738,138.105
14176.935,24243.139,96.769
14604.795,27561.143,86.45
15719.57,21322.391,-1.135
15630.133,22620.166,68.964
15906.181,26225.926,5.838
6037.703,18755.279,20.808
6980.998,19466.426,4.934
7221.864,20632.109,381.14
7956.74,19617.984,9.087
9973.588,15243.914,-6.895
10706.029,20729.986,-16.978
11197.349,24639.621,24.125
12504.346,25827.891,20.529
12800.623,21208.305,91.673
14627.375,27553.189,102.153
16602.926,15827.058,-1.157
7956.248,19619.76,25.987
9969.674,15234.928,29.348
10560.047,25667.895,-2.809
10691.836,20732.428,249.732
12293.013,19320.967,81.899
12806.065,23033.102,83.967
14911.67,25380.188,-41.174
15009.718,15502.638,-5.038
16164.879,18221.676,154.874
16401.973,27187.969,-20.074
5488.405,17831.727,49.671
5718.929,21095.615,19.505
8439.171,22543.184,55.278
8545.998,16063.859,37.565
8695.843,15334.975,-27.352
11051.242,19037.199,91.199
12746.215,20097.65,150.855
13022.246,24808.73,54.272
14229.235,20386.609,101.004
14516.838,15522.689,102.176
14603.565,27554.977,55.118
15397.775,22738.643,-5.602
16159.414,18242.641,53.325
4140.227,15397.646,86.185
4200.044,20149.711,128.601
5494.542,17839.234,2.025
6748.857,23470.139,15.537
7089.959,14831.579,29.25
8224.973,23651.027,-36.631
9214.848,20042.242,268.334
12732.699,21072.521,224.722
12641.42,25145.053,11.212
14221.914,20376.424,170.039
15154.495,25509.965,30.374
4156.004,15364.948,185.1
7817.799,14123.805,85.519
8888.168,14699.374,144.62
8936.119,15399.199,-10.76
10713.71,20722.684,229.49
11354.394,17157.598,26.363
12180.572,17500.951,-47.64
12418.787,18264.662,2.892
16393.719,16732.473,12.972
4454.772,18244.242,1.335
6087,21607.881,-31.415
6681.851,14674.402,-18.964
8947.919,25321.48,126.075
9557.005,18786.406,-35.352
9984.262,19999.201,58.52
12893.162,17168.912,325.706
14097.701,26940.391,21.759
14436.971,17958.691,-2.636
14379.204,22252.383,73.088
14710.473,24568.93,60.241
16394.465,16740.174,37.732
16859.295,14247.526,173.36
5250.416,17724.393,42.496
6173.953,22175.041,64.175
7187.736,15443.885,111.345
7802.437,19165.451,-1.237
8824.743,14597.851,-29.576
9610.076,17626.557,39.761
11259.139,19664.496,37.876
12615.733,18196.016,55.232
14880.276,23440.842,106.916
15094.391,22015.955,-6.82
15657.941,26967.172,440.057
16802.299,20167.902,236.609
16845.158,24307.312,55.077
4433.954,18252.184,33.541
6192.921,13927.086,-11.518
6926.178,19434.861,74.855
7318.063,16026.227,-7.049
7771.649,19103.705,30.986
8311.875,16883.553,-33.309
8500.133,14039.075,-21.293
8907.041,14638.876,2.067
10573.389,25661.004,70.598
12484.37,25829.1,0.876
14621.003,27544.824,139.462
15272.669,19692.41,184.23
15970.081,26339.488,10.345
16323.392,15938.548,224.88
16286.695,23853,48.975
16543.039,21953.166,75.838
4419.78,18249.127,16.305
4563.444,14761.07,16.976
7014.985,21960.539,75.112
7739.885,16616.295,24.066
9217.48,16554.145,179.669
10373.103,19153.725,108.7
10622.203,20253.527,231.198
11807.084,17578.977,186.626
13067.386,23426.861,70.565
15249.117,22012.93,35.346
15893.937,26190.428,35.443
16364.218,23821.926,4.878
6694.059,23174.635,83.099
6785.006,21164.082,4.716
7015.635,16589.963,135.704
8257.6,16950.137,-30.163
10869.661,16415.941,28.173
11111.58,24596.383,56.213
12227.879,21853.316,212.261
12965.245,24809.645,9.124
13625.146,22339.516,18.382
15069.78,21068.654,56.118
15149.729,22051.377,34.252
15162.626,24507.352,32.208
15772.449,21347.201,93.742
15901.197,26165.268,33.599
16033.215,23903.348,47.883
16266.844,16709.305,33.398
16594.289,15800.377,86.552
6970.021,15666.951,69.552
7858.771,19665.373,-45.209
9144.643,16373.554,-0.728
10860.81,16425.953,42.125
11435.708,24939.832,22.61
12466.192,25833.65,59.732
13004.437,24915.725,25.697
14089.188,24322.748,20.382
14617.015,27562.969,116.655
14894.477,23525.121,-45.231
15176.623,24502.357,137.869
15905.977,26165.498,30.834
16304.275,15950.67,53.646
16927.668,18729.104,112.217
5169.974,17812.18,14.662
5410.546,16407.24,89.829
6988.958,15686.763,327.389
7096.514,16591.787,200.652
7445.41,18232.115,84.006
10276.587,13865.662,-33.737
10573.854,18151.24,52.57
11404.977,20783.916,94.797
11445.433,24938.6,-7.48
11831.074,18362.729,19.12
13638.319,17196.117,411.241
13938.367,20267.992,68.218
13984.861,24441.068,127.986
14435.434,18007.684,19.789
14974.414,19010.689,129.129
15901.876,26161.107,46.969
16188.212,15741.124,3.635
16267.627,16723.006,145.948
5223.792,14114.949,104.4
5887.253,16189.139,-14.331
7062.634,16723.16,113.387
8698.945,22681.639,4.428
13610.729,17213.076,363.122
14043.143,25051.693,38.16
14409.243,17881.686,-5.203
14576.663,27465.154,414.981
15628.079,22620.354,34.155
16328.771,15919.534,109.562
5896.452,16195.362,-29.265
6764.867,21924.871,99.118
6719.745,23416.791,133.288
8342.941,18934.82,19.489
9075.763,20075.527,24.313
11109.338,24651.834,-6.535
13012.347,26691.211,19.258
15066.805,21934.779,69.817
16301.013,17382.061,-23.713
4549.132,14716.064,51.084
6178.041,20042.072,92.615
6779.25,23388.828,41.342
7306.44,14792.807,5.728
7557.734,20919.193,65.422
8158.384,21609.021,20.778
8607.103,22576.984,23.638
9085.215,20100.281,30.823
12207.918,19271.35,15.394
13488.528,21092.475,62.613
13581.353,22225.189,130.697
13774.574,27651.6,262.944
14024.204,25038.496,14.652
16285.189,17374.041,-36.347
16875.953,15713.159,103.06
4407.709,18289.379,16.009
5960.612,16238.73,-1.137
6940.074,16637.385,-0.912
7080.479,21858.85,84.966
7197.727,20528.494,119.286
9822.266,21558.732,20.895
11521.281,17907.082,14.902
13553.237,21113.545,-38.622
14001.866,20280.068,120.145
14605.384,27592.424,109.672
16463.117,17291.645,39.348
6582.926,20654.127,18.574
7305.621,16026.031,-4.72
8267.354,18694.365,226.252
8455.54,23612.1,0.65
10112.328,17221.654,-15.82
10301.658,18420.461,40.22
10698.647,20740.016,72.47
11169.907,17011.562,14.573
11529.961,17914.295,31.04
12884.123,17754.873,-16.093
12829.861,23091.281,-20.453
13164.079,26778.182,139.167
14050.623,26813.789,80.977
16158.752,23966.672,28.907
6037.189,13777.241,171.015
6597.314,20694.545,66.725
6643.417,17159.514,93.767
6695.352,14700.028,-1.383
10239.099,13860.073,74.371
10700.798,20743.732,127.375
13081.663,26951.312,136.791
14621.934,27538.83,408.38
16903.104,19745.188,3.126
5421.07,16552.777,47.141
5864.62,14591.862,15.983
6230.138,22070.812,438.543
7279.84,16025.459,38.465
7479.094,20850.17,1.865
8469.407,15125.379,-27.157
8552.67,23691.703,24.21
9462.638,17129.775,59.613
10549.965,18055.619,-41.517
10698.228,20730.805,372.848
11783.603,23946.311,252.857
12916.219,17890.174,76.493
15865.776,26382.16,18.689
16773.947,15696.907,4.263
16890.023,17523.725,34.129
5189.228,14188.408,221.438
5712.63,21172.736,40.282
6115.845,20458.91,-32.44
7092.381,15479.449,64.489
7063.379,21929.709,35.9
11432.006,14343.898,51.936
12703.285,17773.023,98.489
16080.079,23833.328,51.414
16808.201,14112.46,161.397
16769.598,15696.308,230.273
4382.217,16288.071,99.977
5860.873,16835.348,-41.606
7094.823,21929.561,58.288
8431.554,22493.363,140.089
12588.273,25788.365,22.945
12670.676,17680.514,81.962
12994.584,19971.811,71.996
13878.872,20163.789,35.137
15607.038,16840.113,34.364
16657.107,22090.152,17.057
16846.688,14168.938,55.237
5864.255,16834.309,101.246
6377.67,22161.738,145.11
10695.804,20711.424,119.28
